id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
1948,47,female,white,not hispanic,yes,high school,never married,1,working full time,"$22,500 to $24,999",working class,none,never,not very strong republican,slightly conservative,northeast,2.3236
1949,65,male,white,not hispanic,yes,high school,married,1,working part time,"$60,000 to $74,999",working class,catholic,every week,not very strong republican,slightly conservative,northeast,0.9612
1950,85,male,white,"another hispanic, latino, or spanish origin",no,graduate,married,2,working full time,"$130,000 to $149,999",middle class,catholic,several times a year,"independent, close to republican",slightly conservative,northeast,0.787
1951,65,male,white,not hispanic,yes,graduate,divorced,3,retired,"$40,000 to $49,999",middle class,protestant,several times a year,strong republican,conservative,northeast,0.3784
1952,47,male,white,not hispanic,yes,high school,married,4,working full time,"$150,000 to $169,999",working class,protestant,less than once a year,strong republican,conservative,northeast,1.3679
1953,27,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$90,000 to $109,999",middle class,none,less than once a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.4558
1954,33,female,white,not hispanic,yes,high school,never married,1,"unemployed, laid off, looking for work","$7,000 to $7,999",middle class,christian,several times a year,strong republican,slightly conservative,northeast,0.769
1955,42,female,white,not hispanic,yes,bachelor's,never married,2,working full time,"$110,000 to $129,999",working class,none,less than once a year,"independent (neither, no response)","moderate, middle of the road",northeast,0.9468
1956,64,female,white,not hispanic,yes,high school,married,0,retired,"$50,000 to $59,999",working class,protestant,nearly every week,strong republican,conservative,northeast,0.9178
1957,58,male,white,not hispanic,yes,high school,married,3,"unemployed, laid off, looking for work","$35,000 to $39,999",working class,protestant,never,strong republican,conservative,northeast,1.044
1958,53,female,white,not hispanic,yes,high school,divorced,2,working full time,"$60,000 to $74,999",middle class,protestant,about once a month,"independent (neither, no response)","moderate, middle of the road",northeast,0.8169
1959,66,female,white,not hispanic,yes,bachelor's,widowed,2,retired,,middle class,catholic,never,not very strong democrat,slightly liberal,northeast,1.0832
1960,63,female,white,not hispanic,yes,high school,widowed,2,retired,"$60,000 to $74,999",middle class,protestant,never,not very strong democrat,"moderate, middle of the road",northeast,0.4085
1961,48,female,white,not hispanic,yes,high school,divorced,2,working full time,"$130,000 to $149,999",middle class,protestant,never,"independent, close to democrat","moderate, middle of the road",northeast,1.0703
1962,89+,male,white,not hispanic,yes,graduate,widowed,4,retired,"$110,000 to $129,999",middle class,catholic,every week,strong republican,"moderate, middle of the road",northeast,0.3784
1963,78,male,white,not hispanic,yes,bachelor's,married,4,retired,"$110,000 to $129,999",middle class,catholic,about once or twice a year,strong democrat,slightly liberal,northeast,0.8502
1964,41,female,white,not hispanic,yes,bachelor's,married,2,keeping house,"$110,000 to $129,999",middle class,none,several times a year,not very strong democrat,slightly liberal,northeast,2.3092
1965,42,female,white,not hispanic,yes,graduate,married,0,working full time,"$110,000 to $129,999",middle class,catholic,less than once a year,"independent, close to republican","moderate, middle of the road",northeast,0.7092
1966,29,male,white,not hispanic,yes,bachelor's,never married,0,working full time,,working class,catholic,never,not very strong republican,slightly conservative,northeast,1.037
1967,65,female,white,not hispanic,yes,bachelor's,married,0,retired,"$90,000 to $109,999",middle class,catholic,nearly every week,strong republican,conservative,northeast,0.7475
1968,67,female,white,not hispanic,yes,high school,divorced,1,retired,"$20,000 to $22,499",middle class,none,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.2647
1969,62,female,white,not hispanic,yes,graduate,never married,0,other,"$25,000 to $29,999",middle class,protestant,nearly every week,"independent, close to democrat",liberal,northeast,0.2543
1970,46,male,white,not hispanic,yes,high school,divorced,0,working full time,"$90,000 to $109,999",working class,protestant,never,"independent, close to republican",slightly conservative,northeast,0.5713
1971,52,female,white,not hispanic,yes,associate/junior college,divorced,1,keeping house,"$75,000 to $89,999",middle class,catholic,never,strong democrat,slightly liberal,northeast,0.575
1972,75,female,white,not hispanic,yes,high school,married,2,retired,"$60,000 to $74,999",middle class,protestant,several times a year,"independent (neither, no response)",conservative,northeast,0.5947
1973,76,female,white,not hispanic,yes,less than high school,widowed,5,retired,"$10,000 to $12,499",middle class,protestant,never,"independent, close to republican","moderate, middle of the road",northeast,0.657
1974,38,male,white,not hispanic,yes,high school,divorced,3,other,"$7,000 to $7,999",lower class,none,never,strong republican,liberal,northeast,0.6157
1975,72,male,white,not hispanic,yes,high school,married,1,retired,"$50,000 to $59,999",working class,catholic,less than once a year,strong democrat,slightly liberal,northeast,0.6765
1976,64,female,white,not hispanic,no,bachelor's,,2,working full time,"$50,000 to $59,999",working class,muslim/islam,several times a year,strong republican,conservative,northeast,0.2733
1977,77,male,white,not hispanic,no,graduate,married,3,retired,"$75,000 to $89,999",middle class,jewish,several times a week,strong democrat,liberal,northeast,0.6432
1978,61,female,white,not hispanic,yes,bachelor's,married,3,working full time,"$170,000 or over",middle class,jewish,about once a month,"independent, close to democrat",slightly liberal,northeast,0.5714
1979,38,male,white,not hispanic,yes,bachelor's,married,0,working full time,"$130,000 to $149,999",middle class,catholic,several times a year,"independent, close to democrat",liberal,northeast,1.4943
1980,52,female,black,not hispanic,no,bachelor's,never married,1,working full time,"$110,000 to $129,999",working class,none,about once or twice a year,strong democrat,"moderate, middle of the road",northeast,0.4946
1981,64,female,white,not hispanic,yes,bachelor's,widowed,1,working full time,"$110,000 to $129,999",middle class,catholic,2-3 times a month,"independent, close to democrat",slightly liberal,northeast,0.2543
1982,42,female,white,not hispanic,yes,high school,never married,2,working part time,"$60,000 to $74,999",middle class,none,never,not very strong democrat,"moderate, middle of the road",northeast,1.2265
1983,31,male,white,not hispanic,yes,graduate,married,0,working full time,"$130,000 to $149,999",middle class,catholic,about once or twice a year,not very strong democrat,slightly liberal,northeast,1.4943
1984,54,male,black,not hispanic,yes,high school,married,2,working full time,"$90,000 to $109,999",working class,none,never,"independent (neither, no response)","moderate, middle of the road",northeast,0.9972
1985,41,female,white,not hispanic,yes,associate/junior college,never married,0,working full time,"$50,000 to $59,999",working class,none,never,strong democrat,liberal,northeast,0.4905
1986,29,male,other,"mexican, mexican american, chicano/a",yes,bachelor's,married,3,in school,"$30,000 to $34,999",middle class,jewish,about once or twice a year,"independent, close to democrat",slightly conservative,northeast,1.7246
1987,48,male,white,not hispanic,yes,high school,never married,0,"with a job, but not at work because of temporary illness, vacation, strike","$75,000 to $89,999",working class,none,about once or twice a year,strong democrat,extremely liberal,northeast,0.5713
1988,35,female,white,not hispanic,yes,high school,never married,4,working full time,"$50,000 to $59,999",working class,none,less than once a year,not very strong republican,"moderate, middle of the road",northeast,1.3218
1989,85,female,white,not hispanic,no,bachelor's,widowed,5,retired,"$22,500 to $24,999",middle class,protestant,never,"independent, close to democrat",slightly conservative,northeast,0.2517
1990,62,female,white,not hispanic,yes,high school,widowed,3,retired,"$7,000 to $7,999",working class,catholic,about once or twice a year,strong republican,"moderate, middle of the road",northeast,0.2875
1991,52,female,white,not hispanic,yes,high school,divorced,1,working full time,"$75,000 to $89,999",working class,protestant,never,not very strong republican,"moderate, middle of the road",northeast,1.4042
1992,64,male,white,not hispanic,yes,high school,married,2,working full time,"$90,000 to $109,999",working class,protestant,about once or twice a year,strong republican,conservative,northeast,1.7946
